Customer,"UCSB"
Date Range,06/01/2022 - 06/30/2022
Hour Range,0 - 24
Days of the Week,"Mon - Sun"
Time Interval, 1h

Location,Timestamp,Average Occupancy,Peak Occupancy,Time Interval,Location Path
UCSB Library,06/11/2022 20:00,51,53,1hour,UCSB > UCSB Library
UCSB Library,06/11/2022 21:00,45,50,1hour,UCSB > UCSB Library
UCSB Library,06/11/2022 22:00,49,50,1hour,UCSB > UCSB Library
UCSB Library,06/11/2022 23:00,49,49,1hour,UCSB > UCSB Library
UCSB Library,06/12/2022 00:00,49,49,1hour,UCSB > UCSB Library
UCSB Library,06/12/2022 01:00,49,50,1hour,UCSB > UCSB Library
UCSB Library,06/12/2022 02:00,44,49,1hour,UCSB > UCSB Library
UCSB Library,06/12/2022 03:00,40,41,1hour,UCSB > UCSB Library
UCSB Library,06/12/2022 04:00,40,44,1hour,UCSB > UCSB Library
UCSB Library,06/12/2022 05:00,41,47,1hour,UCSB > UCSB Library
UCSB Library,06/12/2022 06:00,41,49,1hour,UCSB > UCSB Library
UCSB Library,06/12/2022 07:00,41,45,1hour,UCSB > UCSB Library
UCSB Library,06/12/2022 08:00,44,50,1hour,UCSB > UCSB Library
UCSB Library,06/12/2022 09:00,50,51,1hour,UCSB > UCSB Library
UCSB Library,06/12/2022 10:00,49,50,1hour,UCSB > UCSB Library
UCSB Library,06/12/2022 11:00,49,52,1hour,UCSB > UCSB Library
UCSB Library,06/12/2022 12:00,49,53,1hour,UCSB > UCSB Library
UCSB Library,06/12/2022 13:00,50,51,1hour,UCSB > UCSB Library
UCSB Library,06/12/2022 14:00,50,52,1hour,UCSB > UCSB Library
UCSB Library,06/12/2022 15:00,51,52,1hour,UCSB > UCSB Library
UCSB Library,06/12/2022 16:00,50,52,1hour,UCSB > UCSB Library
UCSB Library,06/12/2022 17:00,50,52,1hour,UCSB > UCSB Library
UCSB Library,06/12/2022 18:00,47,50,1hour,UCSB > UCSB Library
UCSB Library,06/12/2022 19:00,49,51,1hour,UCSB > UCSB Library
UCSB Library,06/12/2022 20:00,50,51,1hour,UCSB > UCSB Library
UCSB Library,06/12/2022 21:00,50,52,1hour,UCSB > UCSB Library
UCSB Library,06/12/2022 22:00,50,51,1hour,UCSB > UCSB Library
UCSB Library,06/12/2022 23:00,47,50,1hour,UCSB > UCSB Library
UCSB Library,06/13/2022 00:00,46,51,1hour,UCSB > UCSB Library
UCSB Library,06/13/2022 01:00,49,51,1hour,UCSB > UCSB Library
UCSB Library,06/13/2022 02:00,49,50,1hour,UCSB > UCSB Library
UCSB Library,06/13/2022 03:00,50,50,1hour,UCSB > UCSB Library
UCSB Library,06/13/2022 04:00,49,50,1hour,UCSB > UCSB Library
UCSB Library,06/13/2022 05:00,49,49,1hour,UCSB > UCSB Library
UCSB Library,06/13/2022 06:00,45,50,1hour,UCSB > UCSB Library
UCSB Library,06/13/2022 07:00,89,206,1hour,UCSB > UCSB Library
UCSB Library,06/13/2022 08:00,180,212,1hour,UCSB > UCSB Library
UCSB Library,06/13/2022 09:00,195,213,1hour,UCSB > UCSB Library
UCSB Library,06/13/2022 10:00,170,174,1hour,UCSB > UCSB Library
UCSB Library,06/13/2022 11:00,203,234,1hour,UCSB > UCSB Library
